Z_2^n,Z_1^n,Z_0^n,x,y,z,,Z_2^{n+1},Z_1^{n+1},Z_0^{n+1}
0,0,0,0,0,0,,X,X,X
0,0,0,0,0,1,,X,X,X
0,0,0,0,1,0,,X,X,X
0,0,0,0,1,1,,X,X,X
0,0,0,1,0,0,,X,X,X
0,0,0,1,0,1,,X,X,X
0,0,0,1,1,0,,X,X,X
0,0,0,1,1,1,,X,X,X
0,0,1,0,0,0,,0,0,1
0,0,1,0,0,1,,0,0,1
0,0,1,0,1,0,,0,0,1
0,0,1,0,1,1,,0,0,1
0,0,1,1,0,0,,0,1,0
0,0,1,1,0,1,,0,1,0
0,0,1,1,1,0,,0,1,0
0,0,1,1,1,1,,0,1,0
0,1,0,0,0,0,,0,1,0
0,1,0,0,0,1,,0,0,1
0,1,0,0,1,0,,1,0,0
0,1,0,0,1,1,,1,0,0
0,1,0,1,0,0,,0,1,0
0,1,0,1,0,1,,0,0,1
0,1,0,1,1,0,,1,0,0
0,1,0,1,1,1,,1,0,0
0,1,1,0,0,0,,X,X,X
0,1,1,0,0,1,,X,X,X
0,1,1,0,1,0,,X,X,X
0,1,1,0,1,1,,X,X,X
0,1,1,1,0,0,,X,X,X
0,1,1,1,0,1,,X,X,X
0,1,1,1,1,0,,X,X,X
0,1,1,1,1,1,,X,X,X
1,0,0,0,0,0,,0,0,1
1,0,0,0,0,1,,0,0,1
1,0,0,0,1,0,,0,0,1
1,0,0,0,1,1,,0,0,1
1,0,0,1,0,0,,0,0,1
1,0,0,1,0,1,,0,0,1
1,0,0,1,1,0,,0,0,1
1,0,0,1,1,1,,0,0,1
1,0,1,0,0,0,,X,X,X
1,0,1,0,0,1,,X,X,X
1,0,1,0,1,0,,X,X,X
1,0,1,0,1,1,,X,X,X
1,0,1,1,0,0,,X,X,X
1,0,1,1,0,1,,X,X,X
1,0,1,1,1,0,,X,X,X
1,0,1,1,1,1,,X,X,X
1,1,0,0,0,0,,X,X,X
1,1,0,0,0,1,,X,X,X
1,1,0,0,1,0,,X,X,X
1,1,0,0,1,1,,X,X,X
1,1,0,1,0,0,,X,X,X
1,1,0,1,0,1,,X,X,X
1,1,0,1,1,0,,X,X,X
1,1,0,1,1,1,,X,X,X
1,1,1,0,0,0,,X,X,X
1,1,1,0,0,1,,X,X,X
1,1,1,0,1,0,,X,X,X
1,1,1,0,1,1,,X,X,X
1,1,1,1,0,0,,X,X,X
1,1,1,1,0,1,,X,X,X
1,1,1,1,1,0,,X,X,X
1,1,1,1,1,1,,X,X,X
